DO,pH,Alkalinity,Hardness,Nitrite,H2S,Salinity,Ammonia,Temperature,WSS,AHPND,TSV,YHV
11.11,14.08,213.52,395.95,3.36,0.04,17.4,2.8,33.94,0,1,0,0
12.11,4.61,251.74,8.37,4.96,0.06,15.52,0.64,32.93,0,0,0,1
0.64,12.43,238.53,366.89,4.52,0.03,20.74,5.96,28.1,1,1,1,1
13.82,14.13,271.13,337.1,3.17,0.09,17.09,0.33,31.91,0,0,0,0
2.91,5.89,284.03,348.75,4.64,0.06,21.11,0.51,29.23,1,1,1,1
13.37,1.06,251.3,390.47,3.81,0.07,13.06,0.5,33.86,0,0,0,0
0.97,11.57,214.87,340.25,2.13,0.04,23.13,0.23,31.25,1,1,1,1
2.72,10.28,204.72,4.29,3.22,0.09,17.76,0.29,31.4,1,1,1,1
11.41,4.07,287.62,390.51,4.46,0.09,23.82,2.22,29.48,0,0,0,0
0.13,9.58,262.88,392.65,2.99,0.03,24.01,0.96,33.26,1,1,1,1
0.44,0.85,264.89,313.15,3.4,0.03,24.73,3,33.27,1,1,1,1
13.65,10.23,266.71,343.85,4.88,0.04,10.22,0.97,35.2,0,0,0,0
0.59,2.71,206.91,307.52,2.43,0.1,12.31,0.65,33.43,1,1,1,1
11.01,2.95,243.97,11.25,2.02,0.08,19.34,0.76,31.76,0,0,0,1
2.34,10.38,235.18,355.86,3.89,0.04,18.62,0.02,33.74,1,1,1,1
9.79,12.35,225.94,311.19,4.56,0.05,18.2,0.41,31.84,0,0,0,0
13.73,10.25,204.64,8.43,3.82,0.07,10.85,0.96,35.5,0,0,0,1
10.48,14.08,287.96,0.71,2.68,0.07,13.17,4.35,31.33,0,1,0,1
8.91,14.85,234,341.72,4.9,0.04,22.67,5.09,29.07,0,1,0,0
14.05,10.2,220.59,310.99,3.89,0.04,24.63,0.19,30.43,0,0,0,0
2.87,13.15,208.28,3.05,2.59,0.09,22.3,4.3,33.92,1,1,1,1
14.25,0.43,244.12,19.06,4.04,0.1,10.09,1.75,31.56,0,0,0,1
14.47,3.66,240.7,356.53,2.46,0.03,20.64,0.9,29.49,0,0,0,0
12.99,1.91,298.94,9.75,2.28,0.04,22.75,0.39,30.87,0,0,0,0
0.24,1.28,214.6,12.01,3.18,0.02,24.92,0.29,31.26,1,0,1,1
10.41,10.66,284.02,305.16,2.2,0.06,23.48,4.9,29.57,0,1,0,0
2.99,10.38,232.16,349.84,4.31,0.04,19.37,0.82,33.03,1,1,1,1
12.19,14.52,250.92,315.1,2.67,0.05,18.06,0.14,32.25,0,0,0,0
11.05,10.79,231.48,371.44,4.73,0.04,24.55,1.9,30.18,0,1,0,0
12.99,3.71,200.79,12.36,2.66,0.02,22.82,4.9,29.13,0,0,0,0
0.42,9.81,273.04,12.43,3.6,0.03,15.05,3.51,29.74,1,1,1,1
1.74,2.31,213.03,2.5,3.03,0.07,15.83,1.42,31.28,1,1,1,1
13.45,10.38,212.35,10.41,3.49,0.05,22.72,5.56,32.56,0,1,0,1
12.98,0.29,292.69,8.13,2.83,0.04,20.68,0.01,28.04,0,0,0,0
2.13,12.15,251.48,18.35,2.45,0.05,22.03,0.31,31.11,1,1,1,1
2.98,10.13,215.24,397.99,2.87,0.07,12.87,0.21,36.6,1,1,1,1
10.17,2.37,288.86,302.44,2.21,0.03,20.36,4.45,30.31,0,0,0,0
10.77,11.77,239.78,17.72,3.69,0.04,23.55,0.51,34.31,0,0,0,1
10.46,2.7,228.6,338.2,3.63,0.04,24.27,3.56,33.97,0,0,0,0
1.83,4.18,237.48,307.42,2.05,0.07,22.75,5.47,29.94,1,1,1,1
14.97,10.75,230.73,391.94,4.59,0.09,19.95,0.64,29.72,0,0,0,0
11.51,2.39,278.62,359.76,3.24,0.04,11.21,5.65,32.87,0,0,0,0
9.92,12.18,273.85,9.58,2.69,0.03,23.28,4.35,34.6,0,1,0,1
1.61,11.24,245.95,0.26,3.32,0.09,15.82,5.64,36.89,1,1,1,1
2.76,13.34,280.19,13.11,2.44,0.06,11.05,0.08,30.99,1,1,1,1
2.4,5.46,251.68,12.71,3.75,0.08,24.93,0.07,31.54,1,1,1,1
0.71,12.92,206.19,301.33,4.98,0.09,23.05,0.18,31.2,1,1,1,1
0.24,0.54,287.87,315.35,2.27,0.07,18.35,0.11,29.46,1,1,1,1
1.07,13.38,226.15,18.26,3.78,0.08,14.59,0.95,28.17,1,1,1,1
1.96,11.84,224.42,302.62,4.92,0.09,11.74,2.17,34.95,1,1,1,1
13.16,5.35,200.14,375.67,4.7,0.08,18.91,3.9,30.52,0,0,0,0
10.1,10.95,269.72,333.32,2.82,0.07,23.36,0.34,30.64,0,0,0,0
9.48,2.51,241.46,13.06,3.94,0.06,14.49,4.73,34.56,0,0,0,1
14.17,10.1,281.95,17.67,2.39,0.06,18.96,0.98,33.83,0,0,0,1
9.08,0.05,214.91,391.23,4.18,0.05,15.73,4.23,34.5,0,0,0,0
13.78,14.81,206.37,358.52,3.31,0.06,23.89,0.95,30.31,0,0,0,0
1.3,11.13,256.69,18.66,3.62,0.05,19.7,0.2,29.3,1,1,1,1
1.38,2.81,235.04,378.02,2.37,0.07,22.31,5.73,29.77,1,1,1,1
0.93,1.83,274.68,369.19,2.93,0.04,12.19,0.45,28.35,1,1,1,1
1.41,14.55,290.54,15.54,3.56,0.03,16.94,3.85,35.48,1,1,1,1
12.9,14.25,208.52,359.8,3.58,0.1,17.91,3.97,36.3,0,1,0,0
7.38,9.13,156.46,55.58,0.53,0.01,20.14,5.72,35.62,0,1,0,1
7.15,9.34,110.24,45.97,0.23,0.02,23.07,0.41,30.43,0,0,0,1
5.33,9.18,171.92,227.6,0.25,0.02,11.39,5.17,28.64,0,1,0,0
6.38,6.44,41.33,266.57,0.43,0.01,21.36,4.71,28.06,1,1,1,1
5.85,9.22,186.86,50.03,0.25,0.02,13.26,5.59,35.61,0,1,0,1
6.5,9.21,196.54,32.27,0.02,0.01,18.05,0.54,36.96,0,0,0,1
7.51,6.31,39.66,57.78,0.82,0.02,16.92,4.31,29.55,1,1,1,1
5.15,6.39,47.8,58.94,0.45,0,22.06,4.69,29.73,1,1,1,1
7.26,9.3,199.25,30.77,0.46,0.01,20.69,2.64,29.13,0,1,0,0
6.47,6.17,168.73,245.27,1.2,0.01,21.88,0.75,28.45,0,0,0,0
6.78,9.13,40.35,55.27,1.71,0.02,23.95,5.69,33.31,0,1,0,1
6.08,9.48,40.71,21.57,1.61,0.01,23.01,2.21,30.53,0,1,0,1
6.95,9.49,25.48,265.53,0.05,0,22.08,0.63,30.84,0,1,0,1
6.3,6.08,45.51,211.68,2,0.01,15.38,0.13,35.71,1,1,1,1
5,9.01,48.91,66.77,1.92,0,24.79,4.38,28.47,0,1,0,1
6.98,6.2,117.31,71.33,0.83,0,23.46,0.88,31.94,1,1,0,1
7.25,9.18,190.2,256.09,0.29,0.02,20.43,3.28,28.56,0,1,0,0
6.64,9.07,192.7,284.96,1.23,0.01,24.4,5.82,36.38,0,1,0,1
5.18,9.23,121.93,64.72,0.68,0,10.81,1.78,36.95,0,1,0,1
6.1,9.12,175.92,49.84,0.47,0.02,15.79,0.63,34.93,0,0,0,1
5.94,9.07,30.52,68.61,1.54,0.02,15.77,0.55,33.7,0,1,0,1
5.37,9.28,49.56,242.95,1.98,0.01,23.59,4.31,30.74,0,1,0,1
7.77,6.25,25.36,39.76,1.01,0.02,23.74,0.27,29.1,1,1,1,1
5.55,6.26,179.44,43.26,1.45,0.02,14.75,4.85,30,0,0,0,0
5.91,9.44,32.23,197.49,0.71,0.01,15.43,3.87,28.28,0,1,0,1
6.16,6.12,44.29,293.33,1.56,0.01,22.36,4.97,33.6,1,1,1,1
5.98,9.28,176.13,24.2,0.33,0.01,10.3,5.36,29.48,0,1,0,0
7.83,6.15,38.18,273.71,0.11,0.01,10.91,5.82,35.33,1,1,1,0
5.64,6.27,103.74,202.79,0.07,0,16.93,0.35,33.92,1,1,0,1
7.54,9.22,171.14,168.48,0.18,0.01,21.87,3.2,36.16,0,1,0,1
7.01,9.2,44.35,278.9,0.5,0.01,10.28,0.66,30.56,0,1,0,0
5.67,9.06,106.24,279.12,1.48,0,21.1,4.28,36.41,0,1,0,1
7.42,9.31,49.66,41.75,1.94,0.01,12.45,5.48,28.85,0,1,0,1
7.77,9.17,176.37,154.26,0.32,0,22.8,0.03,28.97,0,0,0,0
7.37,9.06,43.46,50.73,1.87,0.01,12.06,5.08,34.29,0,1,0,1
6.77,6.31,44.13,164.58,0.66,0,12.86,0.25,30.86,1,1,1,1
5.72,9.11,37.84,71.93,0.87,0.01,17.55,1.56,32.21,0,1,0,1
5.6,9.39,121.22,28.18,0.09,0,16.46,1.44,36.43,0,1,0,1
5.39,6.43,169.9,283.44,0.07,0,15.65,0.65,30.02,0,0,0,0
5.51,9.49,137.06,58.67,1.2,0.01,22.25,0.46,30.84,0,0,0,0
5.66,6.17,28.54,190.19,0.5,0,19.13,4.89,29.98,1,1,1,1
5.37,6.43,148.97,65.76,1.1,0.01,23.39,3.62,28.98,0,0,0,0
5.62,9.42,139.72,290.17,0.04,0.01,14.01,0.87,30.36,0,0,0,0
6.59,6.31,154.12,58.09,1.64,0.01,23.2,0.31,32.45,0,0,0,1
7.32,9.49,176.38,34.51,0.79,0,16.04,0.58,29.13,0,0,0,0
7.85,6.12,44.35,69.52,1.87,0,12.12,0.91,34.42,1,1,1,1
5.26,6.22,39.09,39.94,0.12,0,22.15,1.47,34.77,1,1,1,1
6.25,6.05,126.13,233.22,0.32,0,18.06,0.78,36.59,0,0,0,1
6.89,6.37,128.53,65.28,1.35,0.01,23.88,0.93,28.26,0,0,0,0
7.68,6.34,117.74,168.39,0.15,0.01,15.55,0.96,31.51,1,1,0,1
3.51,8.46,87.23,147.96,0.01,0.02,22.5,0.2,33.79,1,0,1,1
4.2,8.29,48.58,123.48,0,0.02,23.14,0.68,28.14,0,1,0,1
3.48,8.17,65.56,147.18,0.02,0.02,21.08,4.41,36.57,1,1,1,1
3.68,7.42,29.88,132.91,0,0.02,10.38,0.95,29.19,1,1,0,1
4.33,6.95,45.08,142.87,0.01,0.02,10.77,0.73,36.31,1,1,1,1
3.11,7.61,51.68,76.85,0.01,0.02,14.21,4.01,36.76,1,0,1,1
4.98,8.53,29.03,144.88,0.01,0.02,10.23,2.29,32.22,0,1,0,1
4.81,6.88,58.27,93.03,0.01,0.02,13.32,0.46,32.8,1,1,1,1
4.59,6.55,67.15,87.09,0.01,0.02,10.18,3.7,31.57,1,1,1,1
3.17,8.52,97.77,147.1,0,0.02,23.66,4.69,34.45,1,1,1,1
4.86,7.38,31.77,109.78,0,0.02,24.52,4.31,29.25,1,1,0,1
4.11,7.05,26.29,81.11,0,0.02,20.59,2.86,34.93,1,1,0,1
3.58,8.53,42.34,139.67,0.01,0.02,14.35,2.2,30.83,1,1,0,1
3.03,6.76,29.81,76.97,0.01,0.02,11.29,0.15,28.11,1,1,1,1
3.84,7.13,62.81,141.75,0,0.02,24.04,0.93,34.04,1,1,0,1
5,8.51,42.53,135.45,0.01,0.02,23.98,0.11,35.87,0,1,0,1
4.35,7.26,98.87,103.99,0,0.02,14.11,0.17,28.86,1,1,0,1
4.1,8.26,70.42,124.26,0.02,0.02,24.22,4.45,36.74,0,1,0,1
4.54,8.2,60.9,100.65,0.01,0.02,17.38,0.7,32.95,0,1,0,1
3.64,7.2,84.97,91.32,0.02,0.02,21.68,2.28,34.34,1,1,1,1
4.38,6.99,52.67,138.63,0,0.02,18.53,0.32,30.62,1,1,1,1
3.73,7.17,73.87,81.46,0,0.02,20.21,1.84,30.78,1,1,0,1
3.15,6.9,30.44,142.7,0,0.02,19.32,0.33,36.79,1,1,1,1
4.84,7.15,34.38,125,0,0.02,23.73,5.96,33.02,1,1,0,1
3.21,6.79,38.32,88.23,0.01,0.02,24.7,5.39,34.47,1,1,1,1
4.5,7.87,47.48,120.86,0.02,0.02,24.2,0.67,33.14,0,0,0,1
4.57,8.15,86.69,149.56,0.01,0.02,24,2.95,32.82,0,1,0,1
3.71,7.6,76.58,100.01,0.01,0.02,20.99,0.91,28.23,1,0,0,1
3.04,7.72,96.02,108.61,0.01,0.02,11.41,2.64,31.26,1,0,1,1
3.03,8.88,79.85,112.75,0.02,0.02,19.38,5.78,36.08,1,1,1,1
3.68,6.99,28.04,79.12,0.02,0.02,18.74,0.17,31.95,1,1,1,1
4.44,8.59,95.88,116.41,0,0.02,22.16,2.66,29.63,0,1,0,1
4.8,7.25,95.8,108.54,0.02,0.02,11.64,3.18,31.56,1,1,0,1
3.95,8.11,31.77,88.87,0.01,0.02,10.71,0.99,36.55,1,1,0,1
3.11,7.7,35.27,83.66,0.01,0.02,10.44,0.57,30.81,1,1,1,1
3.82,6.65,52.43,85.16,0.02,0.02,17.9,2.11,35.31,1,1,1,1
3.67,7.71,35.04,146.2,0,0.02,19.89,0.19,28.68,1,1,0,1
3.61,8.1,62.66,116.09,0.01,0.02,23.73,5.68,35.4,1,1,1,1
3.59,7.46,78.71,81.75,0.01,0.02,23.69,4.57,30.5,1,1,0,1
4.94,7.15,71.85,136.99,0,0.02,21.85,0.97,35.2,1,1,0,1
4.15,8.02,33.12,110.7,0.01,0.02,21.4,0.88,34.92,0,1,0,1
3.47,7.54,52.48,143.17,0.02,0.02,14.31,0.14,32.46,1,0,1,1
4.82,7.41,32.39,89.62,0.02,0.02,11.94,1.25,30.34,1,1,0,1
3.08,6.63,86.05,107.63,0.01,0.02,15.88,5.38,29.97,1,1,1,1
4.11,7.76,99.93,126.63,0,0.02,24.26,0.71,32.68,0,0,0,1
4.35,8.05,72.9,141.21,0.01,0.02,12.95,4.06,34.86,0,1,0,1
4.87,8.87,47.88,109.93,0.02,0.02,22.56,4.25,28.79,0,1,0,1
4.98,8.37,89.06,81.13,0.01,0.02,21.97,3.72,30.98,0,1,0,1
3.34,8.71,95.25,126.05,0,0.02,15.69,0.45,32.7,1,1,1,1
3.01,7.63,29.96,81.83,0.01,0.02,12.7,4.88,31.4,1,1,1,1
6.66,9.36,49.37,255.3,1.8,0.02,20.72,0.05,32.89,0,1,0,1
6.92,6.43,38.87,58.55,0.43,0.01,22.27,5.98,31.8,1,1,1,1
5.78,9.2,181.55,52.62,0.14,0.01,22.54,3.89,34.9,0,1,0,1
5.97,6.05,26.8,73.75,0.9,0,18.55,5.39,31.94,1,1,1,1
6.12,6.36,31.08,73.99,1.87,0.01,22.96,4.42,29.36,1,1,1,1
6.69,6.14,102.08,29.39,0.22,0,10.18,4.07,34.25,1,1,0,1
5.11,6.04,110.13,23.19,1.15,0.02,24.49,3,34.32,1,1,0,1
7.63,9.33,181.27,196.87,1.69,0,19.37,4.2,31.51,0,1,0,1
7.03,6.23,181.94,178.86,1.95,0.01,20.84,1.89,30.39,0,0,0,0
7.63,9.27,198.03,74.3,0.41,0,16.46,0.96,36.92,0,0,0,1
5.59,9.48,34.61,156.29,0.27,0.01,17.04,1.62,31.07,0,1,0,1
6.33,9.16,31.57,53.39,1.46,0.01,24.3,4.25,35.02,0,1,0,1
6.13,6.08,180.75,240.96,0.62,0.01,17.85,3.89,33.66,0,0,0,1
5.1,9.27,38.3,60.83,0.9,0,24.06,3.75,29.78,0,1,0,1
5.3,9.32,111.52,60.26,0.16,0,18.28,0.85,28.7,0,1,0,1
5.14,6.38,32.28,184.23,1.01,0.01,18.9,5.74,32.94,1,1,1,1
7.66,9.31,140.28,285.51,0.58,0,20.36,1.46,29.92,0,1,0,0
5.95,9.06,114.83,40.17,1.79,0.01,20.48,5.12,35.09,0,1,0,1
5.92,9.48,119.24,203.74,0.88,0.01,22,0.03,29.28,0,0,0,0
5.34,6.3,45.49,60.23,0.19,0.02,18.7,5.58,32.91,1,1,1,1
5.32,9.34,41.38,31.65,0.41,0,13.43,1.42,35.86,0,1,0,1
6.81,6.46,28.65,266.34,1.15,0,20.77,0.94,32.76,1,1,1,1
5.59,9.06,38.13,53.55,0.65,0.02,18.67,0.54,35.8,0,1,0,1
5.72,9.42,127.78,69.06,0.81,0,11.63,0.24,30.75,0,0,0,0
6.52,9.33,45.16,209.66,1.19,0.01,22.81,0.54,30.1,0,1,0,1
5.25,6.39,133.65,46.9,0.85,0,21.11,0.67,31.5,0,0,0,1
7.48,9.22,147.95,235.36,1.51,0.01,23.45,0.01,30.16,0,0,0,0
6.7,6.23,175.37,202.76,1.75,0.01,21.32,2.34,28.43,0,0,0,0
6.27,9.26,30.96,35.71,0.51,0,20.79,0.55,34.25,0,1,0,1
7.43,9.47,31.37,69.26,0.13,0,22.03,0.64,31.02,0,1,0,1
5.63,9.48,119.55,232.35,0.89,0.01,10.71,1.65,28.73,0,1,0,1
5.17,6.24,172.3,46.22,0.11,0.01,20.45,0.24,35.41,0,0,0,1
6.65,9.26,49.83,42.77,1.7,0.01,18.16,2.1,34.18,0,1,0,1
6.5,9.18,167.42,162.02,0.44,0.02,20.78,3.75,34.31,0,1,0,1
6.42,6.01,44.35,71.54,1.39,0.01,20.86,4.9,29.8,1,1,1,1
6.39,9.19,48.66,236.77,1.57,0.02,24.09,0.99,28.9,0,1,0,1
7.46,6.02,131.1,54.57,1.4,0.01,16.82,0.27,30.74,0,0,0,0
5.52,6.44,48.84,27.46,1.48,0,17.42,5.57,30.96,1,1,1,1
7.6,6.07,38.95,21.89,0.32,0,15.9,0.4,33.06,1,1,1,1
6.62,6.32,25.89,233.22,0.47,0.01,24.54,5.02,36.94,1,1,1,1
5.27,6.23,30.49,218.11,0.59,0,20.59,1.42,32.96,1,1,1,1
6.91,6.15,112.3,224.1,0.64,0,22.02,0.71,28.28,1,1,0,0
6.66,6.4,199.9,46.52,0.41,0.02,11.81,5.86,36.73,0,0,0,1
7.29,9.28,26.53,62.51,0.38,0.01,20.1,3.11,28,0,1,0,1
6.02,6.15,139.51,237.72,1.98,0.02,19.5,5.29,33.14,0,0,0,1
7.92,6.32,198.29,193.94,1.97,0.01,22.5,3.8,32.25,0,0,0,1
6.5,9.31,104.44,45.23,0.13,0,20.96,1.19,35.06,0,1,0,1
6.81,9.42,47.25,24.35,1.3,0.02,11.87,0.38,31.68,0,1,0,1
6.49,9.44,26.83,58.7,1.72,0.02,24.65,0.02,35.64,0,1,0,1
6.95,9.16,153.45,171.08,1.86,0,20.47,5.13,36.98,0,1,0,1
3.25,7.94,79.72,79.21,0.01,0.02,22.4,0.09,32.22,1,0,1,1
3.33,8.06,85.26,149.08,0.02,0.02,24.3,2.51,33.89,1,1,1,1
4.14,7.1,30.91,92.54,0.01,0.02,23.81,4.71,31.82,1,1,0,1
4.13,6.83,60.1,135.92,0.02,0.02,13.44,1.34,30.91,1,1,1,1
4.52,7.13,76.58,85.63,0,0.02,18.86,0.54,31.78,1,1,0,1
3.22,7.08,31.32,134.1,0.02,0.02,11.07,3.03,36.66,1,1,1,1
4.47,7.13,95.82,115.29,0.01,0.02,21.75,4.62,36.77,1,1,0,1
4.07,7.01,34.12,92.67,0.01,0.02,20.12,0.73,31.06,1,1,0,1
3.93,8.47,77.84,105.69,0.01,0.02,11.77,0.82,31.27,1,1,0,1
4.19,7.66,85.6,87.26,0,0.02,14.34,0.48,33.31,0,0,0,1
4.97,6.7,64.07,108.08,0.02,0.02,13.09,0.51,32.87,1,1,1,1
3.73,6.64,66.98,107.01,0.02,0.02,15.31,0.01,34.69,1,1,1,1
3.55,8.12,94.11,98.56,0,0.02,12.72,4.72,36.91,1,1,1,1
3.66,6.8,97.27,145.64,0.02,0.02,24.64,0.77,33.63,1,1,1,1
4.78,7.75,29.19,93.46,0.01,0.02,12.13,0.77,31.23,0,1,0,1
4.55,8.05,47.04,149.86,0,0.02,24.8,0.97,33.17,0,1,0,1
3.46,7.07,98.83,79.22,0.02,0.02,22.07,4.31,29.72,1,1,0,1
4.3,8.91,46.75,139.77,0.01,0.02,13.18,0.24,33.38,0,1,0,1
3.06,8.38,30.8,118.96,0.01,0.02,20.86,0.71,32.32,1,1,1,1
4.95,7.47,51.95,119.01,0.01,0.02,16,2.42,35.67,1,1,0,1
3.23,7.23,49.7,104.53,0.01,0.02,20.69,1.18,34.61,1,1,1,1
3.28,8.75,72.21,111.41,0.01,0.02,15.9,2.52,36.22,1,1,1,1
4.44,7.46,56.02,112.26,0.01,0.02,15.67,0.67,35.62,1,1,0,1
3.66,6.53,68.38,135.09,0,0.02,21.33,4.03,28.23,1,1,1,1
4.36,6.83,60.81,107.17,0.01,0.02,20.86,5.37,30.76,1,1,1,1
3.2,8.08,77.73,120.45,0.01,0.02,15.78,5.38,29.49,1,1,1,1
4.12,7.88,94.2,122.45,0.01,0.02,13.34,0.57,35.35,0,0,0,1
3.25,7.13,47.89,114.43,0.01,0.02,22.72,3.38,35.79,1,1,1,1
3.5,7.49,65.23,105.3,0.01,0.02,15.41,3.88,34.41,1,1,1,1
4.14,6.94,75.61,126.72,0.02,0.02,15.62,3.53,32.83,1,1,1,1
3.02,8.41,86.13,106.89,0.01,0.02,14.95,4.17,33.65,1,1,1,1
3.94,8.48,78.35,92.9,0.01,0.02,11.06,5.59,33.62,1,1,0,1
3.59,7.7,83.11,133.08,0.01,0.02,15.45,1.73,31.24,1,0,1,1
3.52,6.71,89.45,90,0.02,0.02,23.54,0.46,29.54,1,1,1,1
4.04,8.05,45.68,100,0.02,0.02,24.58,1,28.84,0,1,0,1
4,8.93,38.66,100.96,0.01,0.02,18.04,5.95,35.66,0,1,0,1
3.13,7.75,51.2,107.95,0.02,0.02,14.7,0.11,36.32,1,0,1,1
3.97,7.69,94.4,138.04,0.02,0.02,14,3.92,33.73,1,0,0,1
4.64,9,53.51,134.86,0,0.02,19.25,3.95,32.27,0,1,0,1
4.32,8.29,63.27,124.93,0,0.02,18.13,1.12,28.53,0,1,0,1
3.39,7.67,56.07,94,0.01,0.02,11.38,0.42,29.71,1,0,0,1
4.92,6.55,46.59,101.19,0.01,0.02,22.44,2.3,28.17,1,1,1,1
4.91,7.79,79.33,109.14,0.02,0.02,23.41,0.48,33.73,0,0,0,1
4.81,8.24,79.92,128,0,0.02,11.72,0.62,32.44,0,1,0,1
3.76,6.69,60.2,112.43,0.02,0.02,18.61,0.65,29.49,1,1,1,1
4.28,6.7,52.07,101.13,0,0.02,11.07,0.18,29.13,1,1,1,1
4.64,8.06,88.02,135.49,0.01,0.02,10.62,0.45,28.29,0,0,0,1
3.83,7.53,37.13,87.98,0.01,0.02,11.5,1.69,30.07,1,1,0,1
4.44,7.55,52.96,91.12,0.02,0.02,23.97,5.07,32.16,0,0,0,1
4.66,7.85,71.33,138.4,0.01,0.02,15.78,5.93,28.44,0,0,0,1
0.21,9.16,33.14,54.39,0.69,0.02,23.27,4.46,33.59,1,1,1,1
11.43,9.02,127.71,68.7,1.1,0.02,23.72,1.77,36.68,0,1,0,1
12.43,9.21,36.99,282.03,1.49,0.01,23.57,2.13,29.45,0,1,0,1
10.96,6.47,27.9,160.3,1.01,0.01,17.47,0.37,31.16,1,1,1,1
1.36,9.03,181.47,224.82,0.08,0.01,24.39,0.87,34.07,1,0,1,1
12.7,9.08,26.2,52.29,0.76,0.01,21.98,3.4,31.32,0,1,0,1
14.79,6.31,35.25,65.34,0.85,0.02,11.44,5.85,33.44,1,1,1,1
0.72,9.2,144.17,71.94,0.32,0.01,14.73,0.06,30.51,1,0,1,0
2.21,9.47,152.62,293.5,0.37,0.01,17.57,4.24,35.55,1,1,1,0
8.64,9.39,117.87,251.52,0.69,0.01,22.32,4.93,30.66,0,1,0,1
1.99,9.43,33.24,223.05,1.82,0.01,14.39,0.67,33.23,1,1,1,1
1.81,9.08,110.48,238.19,1.85,0,22.22,2.62,36.33,1,1,1,1
10.36,9.16,34.18,285.44,0.96,0.02,15.29,5.05,36.7,0,1,0,0
10.91,6.41,28.33,23.52,1.36,0.01,23.89,0.23,33.17,1,1,1,1
0.55,9.17,141.08,178.93,0.57,0.02,14.96,5.05,33.43,1,1,1,1
1.61,9.35,47.37,216.56,1.65,0.01,18.2,0.95,28.97,1,1,1,1
0.53,9.43,40.2,177.35,1.45,0.02,10.72,0.34,31.95,1,1,1,1
9.98,6.21,119.13,38.96,1.85,0.01,24.96,1.67,33.15,1,1,0,1
14.3,6.22,43,70.52,1.49,0.01,22.23,0.69,30.9,1,1,1,1
